Disease_Name_English,Disease_Name_Spanish,Diagnosis,Treatments,Tests,Medications_Drugs
Generalized anxiety disorder,Generalized anxiety disorder,Physical exam to rule out medical causes; detailed questioning about symptoms and medical history; use of psychological questionnaires; application of DSM-5 criteria.,Psychotherapy (cognitive behavioral therapy); Medications,Blood or urine tests,"escitalopram (Lexapro); duloxetine (Cymbalta); venlafaxine (Effexor XR); paroxetine (Paxil, Pexeva); buspirone; benzodiazepines"
Genital herpes,Genital herpes,Diagnosis is typically made through physical examination and history of sexual activity; confirmation involves taking a sample from an active sore and testing for herpes simplex virus (HSV-1 or HSV-2); blood tests may be used less often for confirmation or ruling out other infections.,Prescription antiviral pills to help sores heal during a first outbreak; reduce frequency of recurrent outbreaks; lessen severity and duration of symptoms in recurrent outbreaks; reduce chance of passing the virus to a partner,Sample from active sore tested for HSV-1 or HSV-2; Blood test,Acyclovir (Zovirax); Famciclovir; Valacyclovir (Valtrex)
Genital warts,Genital warts,Physical exam; Biopsy; Pap test (for women); HPV test (for women age 30 and older),Observation (if asymptomatic); Topical medications; Surgery; Cryotherapy; Electrocautery; Surgical excision; Laser treatment,Physical exam; Biopsy; Pap test; HPV test,Imiquimod (Zyclara); Podophyllin (Podocon-25); Podofilox (Condylox); Trichloroacetic acid; Sinecatechins (Veregen)
Geographic atrophy,Geographic atrophy,"Geographic atrophy is diagnosed through several tests assessing visual acuity, retinal changes, and detecting damaged cells.  Visual acuity and reading tests check vision; dilated fundus exam visualizes retinal changes; optical coherence tomography (OCT) scans the retina for thinning or damage; fundus autofluorescence (FAF) images the retina to identify damaged cells; and the Amsler grid helps detect blurry spots.","Injections of avacincaptad pegol (Izervay) and pegcetacoplan (Syfovre); Gene therapy (under study) ; Regular follow-up exams; Amsler grid monitoring at home; Lifestyle modifications (brighter lights, magnifying tools, etc.)",Visual acuity and reading tests; Dilated fundus exam; Optical coherence tomography (OCT); Fundus autofluorescence (FAF); Amsler grid,avacincaptad pegol (Izervay); pegcetacoplan (Syfovre)
Geographic tongue,Geographic tongue,Visual examination of the tongue using a lighted instrument; assessment of tongue movement and texture; checking for tenderness; ruling out other conditions such as oral lichen planus.,Pain relievers; mouth rinses; antihistamine mouth rinses; corticosteroid ointments or rinses; vitamin B or zinc; medications for fungal infections.,Information not found,Pain relievers; antihistamines; corticosteroids; vitamin B; zinc; medications for fungal infections.
Germ cell tumors,Germ cell tumors,"Germ cell tumors are diagnosed using imaging tests (ultrasound, CT scan, MRI) to visualize the tumor's size and location; blood tests (tumor marker tests) to detect proteins produced by cancer cells; and surgery to obtain tissue samples for biopsy and definitive diagnosis.  The appearance of lumps or masses on imaging, along with elevated tumor markers, may suggest the possibility of cancer, necessitating surgical removal for confirmation.",Surgery; Chemotherapy; Radiation therapy,Ultrasound; CT scan; MRI; Blood test (tumor marker test); Biopsy,Information not found
Gestational diabetes,Gestational diabetes,"Screening test during the second trimester (24-28 weeks) for average-risk individuals; earlier screening for high-risk individuals (potentially during the first prenatal visit). High-risk factors include pre-pregnancy obesity, family history of diabetes, and prior gestational diabetes.  Diagnosis is confirmed with either a glucose challenge test (blood sugar level ≥190 mg/dL or 10.6 mmol/L one hour post-glucose ingestion) followed by a glucose tolerance test (two of three blood sugar readings higher than expected after a higher-sugar drink) or directly with the glucose tolerance test if initial blood sugar is elevated.",Lifestyle changes (diet and exercise); Blood sugar monitoring; Insulin injections; Oral medications (though research on their efficacy and safety is ongoing),Initial glucose challenge test; Follow-up glucose tolerance test; Ultrasound; other tests (not specified),Insulin
Giant cell arteritis,Giant cell arteritis,"Diagnosis can be difficult due to similar symptoms to other conditions.  Diagnosis involves reviewing symptoms and medical history, a physical exam focusing on temporal arteries (checking for tenderness, reduced pulse, and hard texture), and various tests to rule out other causes.  A temporal artery biopsy is the most definitive diagnostic method, though a negative biopsy doesn't rule out the condition.","High doses of corticosteroids (e.g., prednisone);  Immune-suppressing drugs (e.g., methotrexate); Tocilizumab (Actemra);  Calcium and vitamin D supplements; Low-dose aspirin (75-150mg daily)",Erythrocyte sedimentation rate (sed rate); C-reactive protein (CRP); Doppler ultrasound; Magnetic resonance angiography (MRA); Positron emission tomography (PET); Temporal artery biopsy,Prednisone; Methotrexate (Trexall); Tocilizumab (Actemra); Aspirin; Calcium supplements; Vitamin D supplements
Giardia infection (giardiasis),Giardia infection (giardiasis),Stool sample examination for the presence of parasites; Multiple stool samples may be collected over several days for accuracy;  Tests may be used to monitor treatment effectiveness.,"For severe or persistent symptoms; Medication;  In asymptomatic cases, treatment is usually not needed unless there's a risk of spreading the parasites; Many people recover on their own within weeks.",Stool examination,Metronidazole (Flagyl); Tinidazole (Tindamax); Nitazoxanide (Alinia)
Gilbert syndrome,Gilbert syndrome,Elevated bilirubin level in the blood; unexplained jaundice; dark urine; abdominal pain.  A complete blood count and liver function tests may be ordered to rule out other liver conditions. Genetic testing can confirm the diagnosis.  The combination of standard blood counts and liver enzymes with an elevated bilirubin level is an indicator.,Information not found,Bilirubin test; Complete blood count (CBC); Liver function tests; Genetic testing,Information not found
Gingivitis,Gingivitis,"Clinical examination of teeth, gums, mouth, and tongue for plaque, irritation, or swelling; Measurement of pocket depth between gums and teeth using a dental probe (pockets deeper than 4 mm may indicate gum disease); Review of dental and medical history; Dental X-rays to check for bone loss; Medical evaluation if the cause of gingivitis is unclear.",Professional dental cleaning (scaling and root planing); Dental repairs (if necessary to address irritants); Ongoing care with good oral hygiene at home; Regular dental checkups.,Dental probe measurement of pocket depth; Dental X-rays,Information not found
Glaucoma,Glaucoma,Comprehensive eye exam including medical history review; measurement of intraocular pressure (tonometry); testing for optic nerve damage (dilated eye exam and imaging tests); checking for visual field loss; measurement of corneal thickness (pachymetry); inspection of the drainage angle (gonioscopy).,Prescription eye drops; Oral medicines; Laser treatment; Surgery;  Laser trabeculoplasty; Filtering surgery (trabeculectomy); Drainage tubes; Minimally invasive glaucoma surgery (MIGS); Laser peripheral iridotomy,Tonometry; Dilated eye exam; Imaging tests; Visual field test; Pachymetry; Gonioscopy,"latanoprost (Xalatan); travoprost (Travatan Z); tafluprost (Zioptan); bimatoprost (Lumigan); latanoprostene bunod (Vyzulta); timolol (Betimol, Istalol, Timoptic); betaxolol (Betoptic S); apraclonidine (Iopidine); brimonidine (Alphagan P, Qoliana); dorzolamide; brinzolamide (Azopt); netarsudil (Rhopressa); pilocarpine (Isopto Carpine); Carbonic anhydrase inhibitors (oral)"
Glioblastoma,Glioblastoma,"Glioblastoma is diagnosed through a neurological exam assessing vision, hearing, balance, coordination, strength, and reflexes; imaging tests such as MRI (sometimes with contrast dye), CT, and PET scans to locate and size the tumor; and a biopsy to confirm cancerous cells and glioblastoma cell type.  Further testing of cancer cells informs prognosis and treatment planning.","Surgery to remove glioblastoma (as much as possible); Radiation therapy; Chemotherapy (oral pills, intravenous, or wafers implanted during surgery); Tumor treating fields (TTF) therapy; Targeted therapy; Palliative care; Clinical trials;  Medicine to control seizures; Steroid medicines to reduce brain swelling; Medicine to help with headaches",Neurological exam; MRI; CT scan; Positron emission tomography (PET) scan; Needle biopsy,Steroids;  Chemotherapy medications (specific names not provided); Medications to control seizures; Medications to help with headaches
Glioma,Glioma,"Diagnosis involves a neurological exam assessing vision, hearing, balance, coordination, strength, and reflexes; brain imaging (primarily MRI, sometimes with contrast, CT, and PET scans); and a biopsy (stereotactic needle biopsy if surgery isn't an option) to analyze tumor cells and determine glioma type and growth rate, including DNA changes.",Surgery (including subtotal resection); Radiation therapy; Chemotherapy; Tumor treating fields therapy; Targeted therapy; Physical therapy; Occupational therapy; Speech therapy; Tutoring (for school-age children),Neurological exam; MRI; CT scan; Positron emission tomography (PET) scan; Biopsy (including stereotactic needle biopsy),Steroids; Medications to control seizures; Medications to improve alertness; Medications to help with thinking and memory problems; Medications to manage chemotherapy side effects
Glomerulonephritis,Glomerulonephritis,"Glomerulonephritis may be identified through tests performed during acute illness or routine checkups.  Diagnosis involves assessing kidney function using urine and blood tests to detect abnormalities like red blood cells, proteins, white blood cells, and waste product levels in urine and blood. Imaging tests (X-ray, ultrasound, CT scan) may reveal kidney irregularities. A kidney biopsy confirms the diagnosis and assesses tissue damage.","Treatment depends on disease form (acute or chronic), underlying cause, and symptom severity. Some acute cases resolve without treatment.  Treatment targets the underlying cause (e.g., high blood pressure, infection, autoimmune disease).  Dialysis (for acute kidney failure due to infection) and kidney transplant (for end-stage kidney disease) are therapies for associated kidney failure. Lifestyle changes (reduced salt and protein intake, weight management, blood sugar control, smoking cessation) are recommended.",Urine test; Blood tests; X-ray; Ultrasound exam; CT scan; Kidney biopsy,Information not found
Goiter,Goiter,"A goiter is often discovered during a routine physical exam by palpating the neck for thyroid enlargement;  Additional tests are ordered to measure thyroid size, detect nodules, assess thyroid function (overactive or underactive), and determine the cause.",Wait-and-see approach; Medication; Surgery (total or partial thyroidectomy); Radioactive iodine treatment,Thyroid function tests; Antibody test; Ultrasonography; Radioactive iodine uptake; Biopsy; Radioactive iodine scan,levothyroxine; liothyronine; methimazole; atenolol; metoprolol; aspirin; naproxen sodium; ibuprofen
Golfer's elbow,Golfer's elbow,"Diagnosis is based on medical history and physical exam, including pressure to the affected area and range-of-motion testing of the elbow, wrist, and fingers; X-ray may rule out other causes such as fracture or arthritis; MRI is rarely used.",Avoiding painful activities; Ice; Rest; Counterforce brace; Stretching and strengthening exercises; Progressive loading strength training;  Platelet-rich plasma injection; Surgery (TENEX procedure in cases unresponsive to conservative treatment); Gradual return to activity with technique correction.,X-ray; MRI,Ibuprofen; Naproxen sodium; Acetaminophen
Gonorrhea,Gonorrhea,"Diagnosis involves analyzing a sample of cells collected via urine test to identify bacteria in the urethra; swab of the affected area (throat, urethra, vagina, or rectum) to collect bacteria for lab identification.  At-home tests may provide preliminary results, but confirmation by a healthcare professional is necessary.",Antibiotic treatment; Partner notification and treatment,"Urine test; Swab of affected area (throat, urethra, vagina, or rectum)",Ceftriaxone
Gout,Gout,Diagnosis is based on symptoms and joint appearance;  Joint fluid test to visualize urate crystals under a microscope; Blood test to measure uric acid levels (though results can be misleading); X-ray imaging to rule out other causes; Ultrasound to detect urate crystals; Dual-energy computerized tomography (DECT) to visualize urate crystals.,Medications to reduce inflammation and pain during attacks; Medications to prevent complications by lowering uric acid levels; Lifestyle changes including diet and exercise.,Joint fluid test; Blood test; X-ray imaging; Ultrasound; Dual-energy computerized tomography (DECT),ibuprofen; naproxen sodium; indomethacin; celecoxib; colchicine; prednisone; allopurinol; febuxostat; probenecid
Granuloma annulare,Granuloma annulare,Visual examination of the affected skin; Skin biopsy examined under a microscope.,Corticosteroid creams or ointments; Corticosteroid injections; Freezing (liquid nitrogen application); Light therapy; Oral antibiotics; Oral antimalarials,Skin biopsy,Corticosteroids; Antibiotics; Antimalarials
Granulomatosis with polyangiitis,Granulomatosis with polyangiitis,"Diagnosis involves reviewing symptoms and health history, physical exam, and various tests to confirm the presence of granulomatosis with polyangiitis (GPA).  Key indicators include antineutrophil cytoplasmic antibodies (ANCA) in the blood and characteristic inflammation seen in tissue biopsies.",Medications; Plasma exchange,"Blood tests (including C-reactive protein, erythrocyte sedimentation rate, ANCA, and complete blood count); Urine tests; Chest X-rays; CT scans; Biopsy","Corticosteroids; Rituximab (Rituxan); Azathioprine (Azasan, Imuran); Mycophenolate (CellCept, Myhibbin); Methotrexate (Trexall); Cyclophosphamide; Avacopan (Tavneos)"
Graves' disease,Graves' disease,Physical exam; review of medical and family history; blood tests to measure TSH and thyroid hormone levels and detect Graves' disease antibodies; radioactive iodine uptake test and scan.,Radioactive iodine therapy; Anti-thyroid medications; Beta blockers; Surgery (thyroidectomy); Corticosteroids (for thyroid eye disease); Teprotumumab (for thyroid eye disease); Prisms (for double vision); Orbital decompression surgery (for thyroid eye disease); Orbital radiotherapy (for thyroid eye disease),"Blood tests (TSH, thyroid hormones, Graves' disease antibodies); Radioactive iodine uptake; Radioactive iodine scan; CT scan; MRI",Propylthiouracil; Methimazole; Propranolol; Atenolol; Metoprolol; Nadolol; Corticosteroids; Teprotumumab
Group B strep disease,Group B strep disease,"In newborns, a blood or spinal fluid sample is tested for the bacteria.  For adults with suspected infection, a blood test is used to identify group B strep as the causative agent.  Additional tests for infants may include urine culture; lumbar puncture; chest X-ray.",IV antibiotics (infants); antibiotics (adults); IV fluids (infants); oxygen (infants); other medications (infants); oral antibiotics (pregnant adults with GBS-related medical problems).,Blood test; spinal fluid sample; urine culture; lumbar puncture; chest X-ray,Penicillin; amoxicillin; cephalexin
Growing pains,Growing pains,"A diagnosis of growing pains usually doesn't require testing.  In some cases, blood tests or X-rays may be recommended to rule out other conditions.","No specific treatment; Self-care measures such as leg massage, heat application (heating pad or warm bath), ibuprofen, acetaminophen, and stretching exercises.",Blood test; X-ray,Ibuprofen; Acetaminophen
Growth plate fractures,Growth plate fractures,"X-rays of both the injured and uninjured limb are compared;  Sometimes X-rays may not show the fracture; tenderness over the growth plate may lead to a cast or splint; MRI, CT, or ultrasound may be used for more serious injuries;  Follow-up X-rays are recommended for several years to monitor growth plate healing.","Cast; Splint; Surgery (for fractures crossing the growth plate or into the joint, and those not well-aligned)",X-ray; MRI; CT scan; Ultrasound,Information not found
Guillain-Barre syndrome,Guillain-Barre syndrome,"Diagnosis is challenging in early stages due to similar symptoms to other conditions; involves medical history, thorough physical exam, lumbar puncture (spinal tap) to test spinal fluid for characteristic changes; electromyography (EMG) to measure nerve activity; nerve conduction studies to measure nerve signal speed.",Plasma exchange (plasmapheresis); Immunoglobulin therapy; Pain relief medication; Blood clot prevention medication; Physical therapy; Adaptive device training;  Caregiver-assisted movement.,Lumbar puncture (spinal tap); Electromyography (EMG); Nerve conduction studies,Information not found
H1N1 flu (swine flu),H1N1 flu (swine flu),"Physical exam to assess influenza symptoms; review of symptoms; influenza virus tests (e.g., polymerase chain reaction (PCR) test); tests may be used to rule out other conditions such as heart problems, lung and breathing problems, brain and nervous system problems, septic shock, or organ failure.  Testing is not always necessary.","Symptom relief (rest, fluids, pain relievers); antiviral medications (for high-risk individuals or those with severe symptoms)",Polymerase chain reaction (PCR) test; other influenza virus tests,"Oseltamivir (Tamiflu); Zanamivir (Relenza); Peramivir (Rapivab); Baloxavir (Xofluza); Acetaminophen (Tylenol); Ibuprofen (Advil, Motrin IB)"
Hair loss,Hair loss,"Physical exam focusing on diet, hair care routine, and medical/family history;  Assessment of hair shedding via pull test; Microscopic examination of hair roots (scalp biopsy) and hair shafts (light microscopy); Blood tests to identify underlying medical conditions.","Medications; Hair transplant surgery; Laser therapy; Addressing underlying medical conditions; Lifestyle and home remedies (e.g., volumizing styling products, hair coloring, hairstyles, wigs, extensions, shaving).",Blood test; Pull test; Scalp biopsy; Light microscopy,"Minoxidil (Rogaine); Finasteride (Propecia); Spironolactone (Carospir, Aldactone); Dutasteride (Avodart)"
Hairy cell leukemia,Hairy cell leukemia,Physical exam to assess spleen size; Complete blood count (CBC) with differential to measure blood cell levels; Peripheral blood smear to identify hairy cell leukemia cells under a microscope; Bone marrow biopsy to examine bone marrow for leukemia cells; Lab tests to analyze leukemia cells' DNA changes; Computerized tomography (CT) scan to assess spleen and lymph node swelling.,"Chemotherapy; Targeted drug therapy; Splenectomy (implied, mentioned in ""More Information"" section)",Physical exam; Complete blood count (CBC) with differential; Peripheral blood smear; Bone marrow biopsy; Lab tests (DNA analysis); Computerized tomography (CT) scan,Information not found
Hammertoe and mallet toe,Hammertoe and mallet toe,"A healthcare professional inspects the foot to diagnose hammertoe or mallet toe; X-rays may be used to visualize bones and joints, but are not always necessary.","Roomier footwear; Orthotics (shoe inserts); Shoe pads; Taping; Toe exercises (e.g., picking up marbles, scrunching a towel); Surgery (tendon release; bone removal).",X-rays,Information not found
Hamstring injury,Hamstring injury,"Physical exam assessing swelling, tenderness, and pain location in the back of the thigh;  evaluation of range of motion to identify the affected muscle and potential ligament or tendon damage.",Rest; Ice; Compression; Elevation (RICE); Pain medication; Physical therapy; Surgery (for severe tears or avulsion fractures),X-ray; Ultrasound; MRI,ibuprofen; acetaminophen
Hand-foot-and-mouth disease,Hand-foot-and-mouth disease,"Evaluation of the child's age, symptoms, and rash or sores appearance; Throat swab; Stool specimen; Lab analysis to identify the causative virus.","No specific treatment; Topical oral anesthetic for mouth sore pain relief; Over-the-counter pain medications (acetaminophen or ibuprofen) for general discomfort; Rest; Adequate fluid intake to prevent dehydration; Avoidance of irritants such as cigarette smoke;  Soothing measures like ice pops, ice cream, cold or warm drinks, soft foods, and warm salt water rinses.",Throat swab; Stool specimen,Acetaminophen; Ibuprofen
Hangovers,Hangovers,"Diagnosis is typically self-evident based on the presence of characteristic symptoms following alcohol consumption, such as tiredness, dry mouth, headache, nausea, cognitive impairment, and light/sound sensitivity.  A healthcare professional's consultation is only advised if hangovers significantly impact quality of life.","Time; Hydration with water or fruit juice; Bland foods such as toast, crackers, or bouillon soup; Over-the-counter pain relievers (e.g., ibuprofen, acetaminophen - with caution); Rest.",Information not found,Ibuprofen; Acetaminophen
Hantavirus pulmonary syndrome,Hantavirus pulmonary syndrome,Blood tests can reveal the presence of antibodies to a hantavirus; other laboratory tests may be used to rule out conditions with similar symptoms.,Supportive therapy; Intubation and mechanical ventilation; Extracorporeal membrane oxygenation (ECMO),Blood tests,Information not found
Hashimoto's disease,Hashimoto's disease,"Physical exam; Review of medical history; TSH test; T-4 tests; Antibody tests (for thyroid peroxidase antibodies and other antibodies associated with Hashimoto's disease).  Diagnosis is based on symptoms, physical exam, and blood tests revealing hypothyroidism and the presence of specific antibodies.","T-4 hormone replacement therapy; T-3 hormone replacement therapy (in some cases);  Monitoring of TSH levels and dosage adjustments.  For mild hypothyroidism, regular TSH monitoring may suffice.",TSH test; T-4 tests; Thyroid peroxidase antibody test; Other antibody tests associated with Hashimoto's disease,"Levothyroxine (Levoxyl, Synthroid, others);  Triiodothyronine (Cytomel)"
Hay fever,Hay fever,Physical exam; discussion of symptoms and potential triggers; skin prick test (detects allergic reaction via raised bump at allergen site); allergy blood test (measures IgE antibodies).,Limiting exposure to triggers; nonprescription medications; prescription medications; immunotherapy; nasal saline rinses,Skin prick test; Allergy blood test,"fluticasone (Flonase Allergy Relief); budesonide (Rhinocort Allergy); triamcinolone (Nasacort Allergy 24HR); mometasone (Nasonex 24HR Allergy); azelastine and fluticasone (Dymista); mometasone and olopatadine (Ryaltris); loratadine (Claritin, Alavert); cetirizine; fexofenadine (Allegra Allergy); olopatadine (Pataday, Patanol); ketotifen (Alaway, Zaditor); azelastine (Astepro Allergy); olopatadine; pseudoephedrine (Sudafed); phenylephrine hydrochloride (Neo-Synephrine); oxymetazoline (Afrin); cromolyn sodium; montelukast (Singulair); ipratropium; prednisone"
Head and neck cancers,Head and neck cancers,"Diagnosis begins with a head and neck exam looking for sores or lumps; imaging tests (CT, MRI, PET scans) are used to show cancer size and location; a biopsy removes tissue for lab testing to confirm cancerous cells and may test for HPV.",Surgery; Radiation therapy; Chemotherapy; Targeted therapy; Immunotherapy; Palliative care,Head and neck exam; CT scan; MRI scan; PET scan; Biopsy,Information not found
Head lice,Head lice,"Identification of a live nymph or adult louse through examination of wet hair lubricated with conditioner using a fine-toothed comb; Examination for nits (lice eggs), noting that nits more than 1/4 inch from the scalp are likely dead; Microscopic examination of suspect nits to determine if they are living.",Nonprescription medication; Prescription medication; Wet-combing; Essential oils (limited evidence of effectiveness); Smothering agents (limited evidence of effectiveness).,Examination of wet hair with fine-toothed comb; Microscopic examination of nits; Wood's light examination (to visualize nits).,Permethrin (Nix); Ivermectin (Sklice); Spinosad (Natroba); Malathion; Ivermectin (Stromectol).
Headaches in children,Headaches in children,"Diagnosis involves detailed headache history (including frequency, severity, and triggers, potentially using a headache diary); physical exam (measuring height, weight, head circumference, blood pressure, pulse, and examining eyes, neck, head, and spine); neurological exam (checking movement, coordination, and sensation).  Further testing (MRI, CT scan, lumbar puncture) may be necessary if the child is not otherwise healthy or headaches are not the only symptom to rule out underlying conditions.",Rest; decreased noise; plenty of fluids; balanced meals; over-the-counter pain relievers; relaxation training; biofeedback training; cognitive behavioral therapy,Magnetic resonance imaging (MRI); Computerized tomography (CT) scan; Spinal tap (lumbar puncture),Acetaminophen; ibuprofen; Triptans; anti-nausea drugs
Hearing loss,Hearing loss,"Hearing loss is diagnosed through a physical exam to check for earwax, infection, or structural abnormalities; screening tests like a whisper test to assess hearing sensitivity; app-based hearing tests; tuning fork tests to locate the site of hearing damage; and audiometer tests by an audiologist to determine the extent and type of hearing loss.","Removing earwax; Surgery (e.g., tubes for ear drainage); Hearing aids; Cochlear implants",Physical exam; Whisper test; App-based hearing tests; Tuning fork tests; Audiometer tests,Information not found
Heart arrhythmia,Heart arrhythmia,"A healthcare professional examines the patient, reviews their medical history and symptoms, and may order tests to check the heart and identify underlying conditions causing irregular heartbeat.",Regular checkups; Medicines; Vagal maneuvers; Cardioversion; Cardiac catheter ablation; Pacemakers; Implantable cardioverter-defibrillator (ICD); Maze procedure; Coronary bypass graft surgery,Electrocardiogram (ECG or EKG); Holter monitor; Event recorder; Echocardiogram; Implantable loop recorder; Stress test; Tilt table test; Electrophysiological (EP) testing and mapping,Information not found
Heart attack,Heart attack,"Screening for risk factors during regular checkups; Emergency assessment of symptoms and medical history; Checking blood pressure, pulse, and temperature; Tests to evaluate heart function and overall heart health.",Oxygen; Clot busters (thrombolytics or fibrinolytics); Coronary angioplasty and stenting;  Surgical procedures to open blocked arteries.,Electrocardiogram (ECG or EKG); Blood tests (for cardiac markers); Chest X-ray; Echocardiogram; Coronary catheterization (angiogram); Cardiac Computerized Tomography (CT); Magnetic Resonance Imaging (MRI),Aspirin; Heparin; Nitroglycerin; Morphine; Beta blockers; Angiotensin-converting enzyme (ACE) inhibitors; Statins
Heart disease,enfermedad cardíaca,"Physical examination including listening to the heart; Review of symptoms, personal and family medical history.","Lifestyle changes (diet low in salt and saturated fat, increased exercise, smoking cessation); Medications; Heart procedures; Heart surgery","Blood tests (for heart proteins, high-sensitivity C-reactive protein, cholesterol, and blood sugar); Chest X-ray; Electrocardiogram (ECG or EKG); Holter monitoring; Echocardiogram; Exercise tests or stress tests; Cardiac catheterization; Heart CT scan; Heart magnetic resonance imaging (MRI) scan","Daily aspirin therapy (mentioned as a treatment, but not specified as a medication for all heart diseases)"
Heart failure,Heart failure,"Physical examination assessing symptoms, medical history, and risk factors (high blood pressure, coronary artery disease, diabetes); Auscultation for heart murmurs; Examination of neck veins and assessment for leg and abdominal swelling; Blood tests to diagnose associated diseases and measure heart proteins.",Lifestyle changes; Medications; Surgery to open blocked arteries or implant cardiac devices,Blood tests; Chest X-ray; Electrocardiogram (ECG or EKG); Echocardiogram; Ejection fraction measurement; Exercise tests or stress tests; CT scan of the heart; Heart MRI scan; Coronary angiogram; Myocardial biopsy,enalapril; lisinopril; captopril; losartan; valsartan; candesartan; sacubitril-valsartan; carvedilol; metoprolol; bisoprolol; furosemide; spironolactone; eplerenone; canagliflozin; dapagliflozin; empagliflozin; digoxin
Heart murmurs,Heart murmurs,"Heart murmurs may be detected during a physical exam;  A health care provider listens to the heart with a stethoscope, considering volume, location, pitch, timing (systolic, diastolic, or continuous), and sound changes with exercise or position change to determine if the murmur is innocent or worrisome.","Monitoring; Medication; Surgery; Valve repair (patching holes, separating fused leaflets, replacing cords, removing excess tissue, tightening or reinforcing the ring); Valve replacement",Echocardiogram; Chest X-ray; Electrocardiogram (ECG or EKG); Cardiac catheterization,"warfarin (Jantoven); clopidogrel (Plavix); apixaban (Eliquis); rivaroxaban (Xarelto); dabigatran (Pradaxa); diuretics; Angiotensin-converting enzyme (ACE) inhibitors; Beta blockers; Antibiotics (in specific situations, e.g., artificial heart valves, history of heart valve infections, congenital heart defects)"
Heart palpitations,Heart palpitations,Physical exam including listening to the heart with a stethoscope and checking for conditions like swollen thyroid; review of medical history;  ECG/EKG to assess heart's electrical activity; Holter monitoring for 24-hour or longer heart rhythm recording; event recorder for intermittent symptoms; echocardiogram to visualize heart structure and blood flow; chest X-rays.,"Avoidance of triggers (stress, stimulants, illegal drugs); Treatment of underlying heart conditions (arrhythmias).",Electrocardiogram (ECG or EKG); Holter monitoring; Event recording; Echocardiogram; Chest X-rays,Information not found
Heart valve disease,Heart valve disease,"Physical examination including auscultation for heart murmurs; review of symptoms and medical history; blood tests; echocardiogram; electrocardiogram (ECG or EKG); chest X-ray; cardiac MRI; exercise or stress tests; cardiac catheterization (less frequently used, primarily for assessing severity).",Regular health checkups; Lifestyle and diet changes; Medications; Surgery to repair or replace the valve; Annuloplasty; Valvuloplasty; Mechanical valve replacement; Biological valve replacement; Transcatheter aortic valve replacement (TAVR); Ross procedure,Echocardiogram; Electrocardiogram (ECG or EKG); Chest X-ray; Cardiac MRI; Exercise tests or stress tests; Cardiac catheterization,Blood thinners
Heartburn,Heartburn,"To determine if heartburn is a symptom of GERD, doctors may recommend X-ray of the esophagus and stomach; endoscopy with potential biopsy; ambulatory acid probe tests; esophageal motility testing.  Diagnosis is based on a combination of symptoms and the results of these tests.","Lifestyle changes (Maintaining a healthy weight; Avoiding tight-fitting clothing; Avoiding trigger foods; Avoiding lying down after meals; Avoiding late meals; Elevating the head of the bed; Avoiding smoking and alcohol; Eating small, frequent meals); Nonprescription medications; Prescription medications (if nonprescription treatments are ineffective)",X-ray; Endoscopy; Biopsy; Ambulatory acid probe tests; Esophageal motility testing,cimetidine (Tagamet HB); famotidine (Pepcid AC); esomeprazole (Nexium 24HR); lansoprazole (Prevacid 24HR); omeprazole (Prilosec OTC)
Heat exhaustion,Heat exhaustion,Rectal temperature measurement to confirm diagnosis and rule out heatstroke; assessment of symptoms and progression to heatstroke.,"Rest in a cool place; Drink cool fluids (water or sports drinks); Cooling measures (cool shower, cool bath, cool water on skin, cool pond or stream); Loosen clothing; Cold water immersion; Evaporation cooling techniques; Ice packs and cooling blankets; Muscle relaxants (benzodiazepines) to stop shivering.",Blood test; Urine test; Muscle function tests; X-rays and other imaging.,Benzodiazepines.
Heat rash,Heat rash,"Clinical examination of the skin is usually sufficient for diagnosis;  A condition resembling heat rash, transient neonatal pustular melanosis (TNPM), mainly affects newborns with brown or Black skin and resolves without treatment.",Cooling the skin; Avoiding heat exposure; Applying a cool cloth; Taking a cool shower or bath; Air drying the skin; Using a moisturizer with wool fat (anhydrous lanolin).,Information not found,Information not found
Heatstroke,Heatstroke,"Heatstroke is often diagnosed clinically based on symptoms and rectal temperature.  Laboratory tests may be used to confirm the diagnosis, rule out other causes, and assess organ damage.","Immersion in cold water; Evaporation cooling techniques (misting with cool water and fanning); Packing with ice and cooling blankets; Muscle relaxants (e.g., benzodiazepines) to stop shivering","Rectal temperature; Blood test (sodium, potassium, blood gases); Urine test (color, kidney function); Muscle damage tests (rhabdomyolysis); X-rays and other imaging tests",Benzodiazepines
Heavy menstrual bleeding,Heavy menstrual bleeding,"Diagnosis of heavy menstrual bleeding requires excluding other causes (menstrual disorders, medical conditions, medications) through a thorough medical history, menstrual cycle tracking, physical exam, and relevant tests.  A diagnosis is made only after ruling out other conditions.",Medicines; Dilation and curettage (D&C); Uterine artery embolization; Focused ultrasound; Myomectomy; Endometrial ablation; Endometrial resection; Hysterectomy; Iron supplements,Blood tests; Pap test; Endometrial biopsy; Ultrasound; Sonohysterography; Hysteroscopy,"Ibuprofen; Naproxen sodium; Tranexamic acid (Lysteda); Oral contraceptives; Oral progesterone; Progestin; Levonorgestrel (in hormonal IUDs such as Mirena, Liletta); Gonadotropin-releasing hormone agonists; Gonadotropin-releasing hormone antagonists; Relugolix combined with estrogen and progestin (Myfembree); Elagolix with estrogen and progestin (Oriahnn); Elagolix (Orilissa); Iron supplements"
